feature,coefficient,abs_coefficient
tenure,-1.2365276450661178,1.2365276450661178
MonthlyCharges,-0.9201529350744541,0.9201529350744541
InternetService_Fiber optic,0.7761541026599802,0.7761541026599802
Contract_Two year,-0.5868593303462428,0.5868593303462428
TotalCharges,0.5142849097276921,0.5142849097276921
Contract_One year,-0.2855086017406693,0.2855086017406693
StreamingMovies_Yes,0.25722658904402185,0.25722658904402185
StreamingTV_Yes,0.2571440785537144,0.2571440785537144
MultipleLines_Yes,0.21616694418187654,0.21616694418187654
PaperlessBilling_Yes,0.18203426760475822,0.18203426760475822
PaymentMethod_Electronic check,0.1811034803515675,0.1811034803515675
OnlineSecurity_Yes,-0.12356069816765124,0.12356069816765124
Dependents_Yes,-0.10355019262610471,0.10355019262610471
TechSupport_Yes,-0.10050155091370017,0.10050155091370017
DeviceProtection_No internet service,-0.09276107497001877,0.09276107497001877
StreamingMovies_No internet service,-0.09276107497001877,0.09276107497001877
StreamingTV_No internet service,-0.09276107497001877,0.09276107497001877
TechSupport_No internet service,-0.09276107497001877,0.09276107497001877
InternetService_No,-0.09276107497001877,0.09276107497001877
OnlineSecurity_No internet service,-0.09276107497001877,0.09276107497001877
OnlineBackup_No internet service,-0.09276107497001877,0.09276107497001877
SeniorCitizen,0.05307329198160381,0.05307329198160381
DeviceProtection_Yes,0.053048063735729414,0.053048063735729414
PaymentMethod_Mailed check,0.03226232453471014,0.03226232453471014
PaymentMethod_Credit card (automatic),-0.013039193589121745,0.013039193589121745
OnlineBackup_Yes,-0.012021940588560136,0.012021940588560136
gender_Male,0.011094359457966442,0.011094359457966442
Partner_Yes,0.010866331856175852,0.010866331856175852
PhoneService_Yes,0.006793776440944528,0.006793776440944528
MultipleLines_No phone service,-0.006793776440944528,0.006793776440944528
